,stockSymbol1,stockSymbol2,corr
0,AAPL,AEM,0.834
1,AAPL,AEZS,-0.658
2,AAPL,ALGN,0.758
3,AAPL,ALXN,0.336
4,AAPL,AMD,0.982
5,AAPL,AMGN,0.771
6,AAPL,AMZN,0.943
7,AAPL,APPS,0.866
8,AAPL,ARNA,0.803
9,AAPL,ARWR,0.786
10,AAPL,ATVI,0.961
11,AAPL,BIDU,0.496
12,AAPL,BIIB,0.18
13,AAPL,BIP,0.758
14,AAPL,CLNE,0.562
15,AAPL,CNI,0.754
16,AAPL,CNQ,-0.323
17,AAPL,CP,0.932
18,AAPL,CRM,0.907
19,AAPL,DDD,0.36
20,AAPL,DE,0.838
21,AAPL,ERIC,0.793
22,AAPL,EXAS,0.382
23,AAPL,FCEL,0.632
24,AAPL,FLIR,-0.392
25,AAPL,GLD,0.904
26,AAPL,GOOG,0.934
27,AAPL,GOOGL,0.933
28,AAPL,HD,0.904
29,AAPL,HIMX,0.653
30,AAPL,HPQ,0.394
31,AAPL,IBB,0.922
32,AAPL,ICE,0.858
33,AAPL,ILMN,0.561
34,AAPL,ILMN,0.561
35,AAPL,IONS,-0.579
36,AAPL,IRDM,0.731
37,AAPL,IWM,0.565
38,AAPL,IYR,-0.249
39,AAPL,JPM,0.11
40,AAPL,KOPN ,0.518
41,AAPL,KTOS,0.497
42,AAPL,LLY,0.814
43,AAPL,MA,0.875
44,AAPL,MRK,-0.146
45,AAPL,MSFT,0.969
46,AAPL,MSTR,0.559
47,AAPL,MTSL,0.436
48,AAPL,MVIS,0.601
49,AAPL,NVAX,0.86
50,AAPL,NVDA,0.979
51,AAPL,PENN,0.897
52,AAPL,PERI,0.74
53,AAPL,PFE,-0.187
54,AAPL,PTC,0.615
55,AAPL,QCOM,0.928
56,AAPL,QQQ,0.989
57,AAPL,RIO,0.656
58,AAPL,SGEN,0.911
59,AAPL,SIVB,0.708
60,AAPL,SLV,0.919
61,AAPL,SPY,0.884
62,AAPL,SSYS,-0.022
63,AAPL,STAA,0.873
64,AAPL,TD,-0.206
65,AAPL,TLT,0.659
66,AAPL,TNA,-0.038
67,AAPL,TRMB,0.812
68,AAPL,TXN,0.879
69,AAPL,V,0.846
70,AAPL,VERU,0.616
71,AAPL,WMT,0.925
72,AAPL,WWR,0.03
73,AAPL,XBI,0.902
74,AAPL,XHB,0.847
75,AAPL,XLE,-0.721
76,AEM,AEZS,-0.683
77,AEM,ALGN,0.466
78,AEM,ALXN,0.089
79,AEM,AMD,0.822
80,AEM,AMGN,0.789
81,AEM,AMZN,0.818
82,AEM,APPS,0.623
83,AEM,ARNA,0.734
84,AEM,ARWR,0.629
85,AEM,ATVI,0.806
86,AEM,BIDU,0.14
87,AEM,BIIB,0.142
88,AEM,BIP,0.671
89,AEM,CLNE,0.24
90,AEM,CNI,0.691
91,AEM,CNQ,-0.33
92,AEM,CP,0.772
93,AEM,CRM,0.798
94,AEM,DDD,0.051
95,AEM,DE,0.623
96,AEM,ERIC,0.626
97,AEM,EXAS,0.29
98,AEM,FCEL,0.27
99,AEM,FLIR,-0.374
100,AEM,GLD,0.885
101,AEM,GOOG,0.717
102,AEM,GOOGL,0.716
103,AEM,HD,0.906
104,AEM,HIMX,0.296
105,AEM,HPQ,0.152
106,AEM,IBB,0.712
107,AEM,ICE,0.791
108,AEM,ILMN,0.416
109,AEM,ILMN,0.416
110,AEM,IONS,-0.561
111,AEM,IRDM,0.406
112,AEM,IWM,0.358
113,AEM,IYR,-0.14
114,AEM,JPM,-0.007
115,AEM,KOPN ,0.257
116,AEM,KTOS,0.377
117,AEM,LLY,0.537
118,AEM,MA,0.842
119,AEM,MRK,0.139
120,AEM,MSFT,0.83
121,AEM,MSTR,0.258
122,AEM,MTSL,0.154
123,AEM,MVIS,0.322
124,AEM,NVAX,0.677
125,AEM,NVDA,0.823
126,AEM,PENN,0.66
127,AEM,PERI,0.487
128,AEM,PFE,-0.184
129,AEM,PTC,0.302
130,AEM,QCOM,0.735
131,AEM,QQQ,0.811
132,AEM,RIO,0.417
133,AEM,SGEN,0.816
134,AEM,SIVB,0.413
135,AEM,SLV,0.873
136,AEM,SPY,0.742
137,AEM,SSYS,-0.218
138,AEM,STAA,0.625
139,AEM,TD,-0.249
140,AEM,TLT,0.666
141,AEM,TNA,-0.173
142,AEM,TRMB,0.581
143,AEM,TXN,0.724
144,AEM,V,0.808
145,AEM,VERU,0.306
146,AEM,WMT,0.838
147,AEM,WWR,-0.176
148,AEM,XBI,0.664
149,AEM,XHB,0.746
150,AEM,XLE,-0.622
151,AEZS,ALGN,-0.185
152,AEZS,ALXN,0.346
153,AEZS,AMD,-0.662
154,AEZS,AMGN,-0.747
155,AEZS,AMZN,-0.556
156,AEZS,APPS,-0.381
157,AEZS,ARNA,-0.364
158,AEZS,ARWR,-0.59
159,AEZS,ATVI,-0.673
160,AEZS,BIDU,0.161
161,AEZS,BIIB,-0.378
162,AEZS,BIP,-0.56
163,AEZS,CLNE,-0.026
164,AEZS,CNI,-0.242
165,AEZS,CNQ,0.513
166,AEZS,CP,-0.525
167,AEZS,CRM,-0.486
168,AEZS,DDD,0.088
169,AEZS,DE,-0.34
170,AEZS,ERIC,-0.201
171,AEZS,EXAS,0.079
172,AEZS,FCEL,-0.087
173,AEZS,FLIR,0.457
174,AEZS,GLD,-0.791
175,AEZS,GOOG,-0.525
176,AEZS,GOOGL,-0.52
177,AEZS,HD,-0.641
178,AEZS,HIMX,-0.124
179,AEZS,HPQ,0.093
180,AEZS,IBB,-0.494
