,stockSymbol1,stockSymbol2,corr,cov
0,AAPL,MMM,0.19,0.3
1,AAPL,ACN,0.57,0.84
2,AAPL,ATVI,0.67,1.05
3,AAPL,AMD,0.65,0.87
4,AAPL,AAP,0.18,0.3
5,AAPL,AES,0.08,0.12
6,AAPL,AFL,0.05,0.09
7,AAPL,A,0.11,0.15
8,AAPL,APD,0.26,0.4
9,AAPL,AKAM,0.41,0.61
10,AAPL,ALK,0.28,0.46
11,AAPL,ARE,0.43,0.68
12,AAPL,ALXN,0.16,0.25
13,AAPL,ALGN,0.47,0.72
14,AAPL,ALLE,0.17,0.24
15,AAPL,LNT,0.17,0.25
16,AAPL,ALL,0.41,0.69
17,AAPL,GOOGL,0.59,0.78
18,AAPL,GOOG,0.58,0.77
19,AAPL,MO,0.28,0.4
20,AAPL,AMZN,0.46,0.66
21,AAPL,AEE,-0.03,-0.04
22,AAPL,AAL,0.08,0.12
23,AAPL,AEP,-0.0,-0.01
24,AAPL,AXP,0.2,0.31
25,AAPL,AIG,0.12,0.23
26,AAPL,AMT,-0.14,-0.2
27,AAPL,AWK,0.1,0.12
28,AAPL,AMP,0.41,0.68
29,AAPL,AME,0.44,0.66
30,AAPL,AMGN,0.52,0.74
31,AAPL,APH,0.55,0.79
32,AAPL,ADI,0.27,0.41
33,AAPL,ANSS,0.7,0.94
34,AAPL,ANTM,0.02,0.03
35,AAPL,AON,0.11,0.15
36,AAPL,AOS,0.17,0.29
37,AAPL,APA,0.36,0.56
38,AAPL,AAPL,1.0,1.33
39,AAPL,AMAT,0.28,0.48
40,AAPL,APTV,0.44,0.71
41,AAPL,ADM,0.51,0.88
42,AAPL,ANET,0.13,0.21
43,AAPL,AJG,0.22,0.27
44,AAPL,AIZ,0.47,0.78
45,AAPL,T,0.35,0.58
46,AAPL,ATO,0.1,0.16
47,AAPL,ADSK,0.35,0.49
48,AAPL,ADP,0.24,0.38
49,AAPL,AZO,-0.04,-0.06
50,AAPL,AVY,0.28,0.46
51,AAPL,BLL,-0.04,-0.06
52,AAPL,BAC,0.35,0.6
53,AAPL,BK,0.15,0.23
54,AAPL,BAX,0.24,0.37
55,AAPL,BDX,0.52,0.7
56,AAPL,BIO,0.74,0.99
57,AAPL,BLK,0.27,0.45
58,AAPL,BA,0.1,0.16
59,AAPL,BKNG,0.38,0.62
60,AAPL,BWA,0.23,0.37
61,AAPL,BXP,0.12,0.2
62,AAPL,BSX,0.18,0.27
63,AAPL,BMY,0.5,0.72
64,AAPL,AVGO,0.03,0.05
65,AAPL,BR,0.44,0.73
66,AAPL,CHRW,0.34,0.49
67,AAPL,COG,-0.27,-0.4
68,AAPL,CDNS,0.22,0.3
69,AAPL,CZR,0.31,0.5
70,AAPL,COF,0.44,0.79
71,AAPL,CAH,0.29,0.39
72,AAPL,KMX,0.6,0.97
73,AAPL,CCL,0.12,0.2
74,AAPL,CTLT,0.52,0.78
75,AAPL,CAT,0.27,0.44
76,AAPL,CDW,0.36,0.51
77,AAPL,CE,0.46,0.78
78,AAPL,CNC,0.32,0.51
79,AAPL,CNP,-0.2,-0.33
80,AAPL,CERN,0.48,0.67
81,AAPL,CF,0.29,0.51
82,AAPL,CRL,0.35,0.48
83,AAPL,SCHW,0.2,0.35
84,AAPL,CHTR,0.34,0.41
85,AAPL,CVX,0.08,0.12
86,AAPL,CMG,0.34,0.46
87,AAPL,CI,0.18,0.28
88,AAPL,CINF,-0.13,-0.23
89,AAPL,CTAS,0.58,0.88
90,AAPL,CSCO,-0.06,-0.1
91,AAPL,C,0.43,0.71
92,AAPL,CFG,0.34,0.62
93,AAPL,CTXS,0.42,0.69
94,AAPL,CLX,-0.0,-0.0
95,AAPL,CME,0.0,0.0
96,AAPL,CMS,0.09,0.14
97,AAPL,KO,0.15,0.22
98,AAPL,CTSH,0.39,0.61
99,AAPL,CL,0.15,0.22
100,AAPL,CMCSA,0.1,0.14
101,AAPL,CMA,0.26,0.45
102,AAPL,CAG,0.47,0.76
103,AAPL,COP,0.32,0.52
104,AAPL,ED,0.05,0.07
105,AAPL,STZ,0.31,0.52
106,AAPL,COO,0.01,0.02
107,AAPL,CPRT,0.57,0.82
108,AAPL,GLW,0.21,0.35
109,AAPL,COST,0.62,0.83
110,AAPL,CSX,0.33,0.49
111,AAPL,CMI,0.17,0.25
112,AAPL,CVS,0.39,0.62
113,AAPL,DHI,0.4,0.67
114,AAPL,DHR,0.3,0.39
115,AAPL,DRI,0.1,0.17
116,AAPL,DVA,0.64,0.98
117,AAPL,DE,0.13,0.2
118,AAPL,DAL,0.23,0.4
119,AAPL,XRAY,-0.03,-0.05
120,AAPL,DVN,0.24,0.41
121,AAPL,DXCM,0.38,0.54
122,AAPL,FANG,0.13,0.21
123,AAPL,DLR,0.32,0.44
124,AAPL,DFS,0.34,0.59
125,AAPL,DISCA,0.23,0.39
126,AAPL,DISCK,0.21,0.35
